Position Date;Issue Date;Interest Date;Maturity Date;Rate;Counterparty;Principal Amount_position;No.;TYPE;Principal Amount_activity;Term Type Days;Investment Tenure Days;Term Type Year;Term Type Month;Investment Tenure Year;Investment Tenure Month;Principal Amount_position_modified;Market Rate
2020-01-31;2019-04-17;2019-04-17;2020-02-03;2.35;D;9942675.0;707288;TERM;7500000.0;292 days;289 days;0;9;0;9;20718750.0;1.483125
2020-01-31;2019-05-13;2019-05-13;2020-05-11;2.35;E;9942675.0;502710;TERM;7500000.0;364 days;263 days;0;11;0;8;19250000.0;1.8172916666666665
2020-01-31;2019-05-15;2019-05-15;2020-04-01;2.55;D;5965605.0;707512;TERM;4500000.0;322 days;261 days;0;10;0;8;12150000.0;1.6520833333333333
2020-01-31;2019-05-15;2019-05-15;2020-05-14;2.59;E;9942675.0;502722;TERM;7500000.0;365 days;261 days;0;11;0;8;20450000.0;1.8172916666666665
2020-01-31;2019-05-23;2019-05-23;2020-04-14;2.45;D;1988535.0;707643;TERM;1500000.0;327 days;253 days;0;10;0;8;3950000.0000000005;1.6500000000000001
2020-01-31;2019-05-24;2019-05-24;2020-02-10;2.15;M;145163.055;707681;TERM;109500.0;262 days;252 days;0;8;0;8;266450.0;1.3183333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;195290.04528;708041;TERM;147312.0;270 days;228 days;0;8;0;7;301989.6;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708042;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708043;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708044;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-17;2019-06-17;2020-03-13;1.8;G;99426.75;708045;TERM;75000.0;270 days;228 days;0;8;0;7;153750.0;1.3058333333333334
2020-01-31;2019-06-25;2019-06-25;2020-03-23;2.17;T;58860.636;708080;TERM;44400.0;272 days;220 days;0;8;0;7;100603.0;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;15908.28;708097;TERM;12000.0;270 days;219 days;0;8;0;7;27190.0;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;27839.489999999998;708098;TERM;21000.0;270 days;219 days;0;8;0;7;47582.5;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;22613.620020000002;708099;TERM;17058.0;270 days;219 days;0;8;0;7;38650.58500000001;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;139197.45;708100;TERM;105000.0;270 days;219 days;0;8;0;7;237912.5;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;318165.6;708101;TERM;240000.0;270 days;219 days;0;8;0;7;543800.0;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;248566.875;708102;TERM;187500.0;270 days;219 days;0;8;0;7;424843.75;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;37782.165;708103;TERM;28500.0;270 days;219 days;0;8;0;7;64576.25;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-03-22;2.17;G;99426.75;708104;TERM;75000.0;270 days;219 days;0;8;0;7;169937.5;1.3041666666666667
2020-01-31;2019-06-26;2019-06-26;2020-04-15;2.44;E;5965605.0;502822;TERM;4500000.0;294 days;219 days;0;9;0;7;10905000.0;1.4671874999999999
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;L;40729.17387;502824;TERM;30723.0;270 days;218 days;0;8;0;7;69613.19750000001;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;L;53690.44499999999;502825;TERM;40500.0;270 days;218 days;0;8;0;7;91766.25;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;L;76325.938905;502826;TERM;57574.5;270 days;218 days;0;8;0;7;130454.22124999999;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;L;178968.15000000002;502827;TERM;135000.0;270 days;218 days;0;8;0;7;305887.5;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;G;45453.93303;708116;TERM;34287.0;270 days;218 days;0;8;0;7;77688.6275;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;G;47098.451475;708117;TERM;35527.5;270 days;218 days;0;8;0;7;80499.39374999999;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;G;397707.0;708118;TERM;300000.0;270 days;218 days;0;8;0;7;679750.0;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;G;11831.78325;708119;TERM;8925.0;270 days;218 days;0;8;0;7;20222.5625;1.3041666666666667
2020-01-31;2019-06-27;2019-06-27;2020-03-23;2.17;G;29828.025;708120;TERM;22500.0;270 days;218 days;0;8;0;7;50981.25;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-02-24;2.49;E;5965605.0;502838;TERM;4500000.0;241 days;217 days;0;7;0;7;11036250.0;1.1411458333333333
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;L;159082.8;502833;TERM;120000.0;270 days;217 days;0;8;0;7;271900.0;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.32;L;5965605.0;502834;TERM;4500000.0;270 days;217 days;0;8;0;7;10590000.0;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;34799.3625;708132;TERM;26250.0;270 days;217 days;0;8;0;7;59478.125;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;9942.675;708133;TERM;7500.0;270 days;217 days;0;8;0;7;16993.75;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;9942.675;708134;TERM;7500.0;270 days;217 days;0;8;0;7;16993.75;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;35793.630000000005;708135;TERM;27000.0;270 days;217 days;0;8;0;7;61177.5;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;31816.56;708136;TERM;24000.0;270 days;217 days;0;8;0;7;54380.0;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;31820.53707;708137;TERM;24003.0;270 days;217 days;0;8;0;7;54386.7975;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;119312.1;708140;TERM;90000.0;270 days;217 days;0;8;0;7;203925.0;1.3041666666666667
2020-01-31;2019-06-28;2019-06-28;2020-03-24;2.17;G;119312.1;708141;TERM;90000.0;270 days;217 days;0;8;0;7;203925.0;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;49713.375;708155;TERM;37500.0;270 days;213 days;0;8;0;6;78187.5;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;21104.321955;708156;TERM;15919.5;270 days;213 days;0;8;0;6;33192.1575;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;21062.56272;708157;TERM;15888.0;270 days;213 days;0;8;0;6;33126.479999999996;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;43723.90758;708158;TERM;32982.0;270 days;213 days;0;8;0;6;68767.47;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;36600.975210000004;708159;TERM;27609.0;270 days;213 days;0;8;0;6;57564.765;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;198853.5;708160;TERM;150000.0;270 days;213 days;0;8;0;6;312750.0;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;125858.35722;708161;TERM;94938.0;270 days;213 days;0;8;0;6;197945.72999999998;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;298280.25;708162;TERM;225000.0;270 days;213 days;0;8;0;6;469125.0;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-28;2.17;G;180956.685;708163;TERM;136500.0;270 days;213 days;0;8;0;6;284602.5;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-03-30;2.17;L;139197.45;502841;TERM;105000.0;272 days;213 days;0;8;0;6;218925.0;1.3041666666666667
2020-01-31;2019-07-02;2019-07-02;2020-06-30;2.42;M;198853.5;708142;TERM;150000.0;364 days;213 days;0;11;0;6;331500.0;1.7932291666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;304361.19003;708178;TERM;229587.0;270 days;212 days;0;8;0;6;478688.895;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;535645.707345;708179;TERM;404050.5;270 days;212 days;0;8;0;6;842445.2925;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;70990.6995;708180;TERM;53550.0;270 days;212 days;0;8;0;6;111651.75;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;110431.30269;708181;TERM;83301.0;270 days;212 days;0;8;0;6;173682.58500000002;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;95449.68000000001;708182;TERM;72000.0;270 days;212 days;0;8;0;6;150120.0;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;25850.955;708183;TERM;19500.0;270 days;212 days;0;8;0;6;40657.5;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-29;2.17;G;198853.5;708184;TERM;150000.0;270 days;212 days;0;8;0;6;312750.0;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-30;2.17;L;9942.675;502842;TERM;7500.0;271 days;212 days;0;8;0;6;15637.5;1.3041666666666667
2020-01-31;2019-07-03;2019-07-03;2020-03-30;2.17;L;59656.05;502843;TERM;45000.0;271 days;212 days;0;8;0;6;93825.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-03;2020-06-30;2.2;A;39770.7;502861;TERM;30000.0;357 days;206 days;0;11;0;6;63000.0;1.7932291666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;39770.7;708197;TERM;30000.0;270 days;211 days;0;8;0;6;63000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;28336.62375;708198;TERM;21375.0;270 days;211 days;0;8;0;6;44887.5;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;28336.62375;708199;TERM;21375.0;270 days;211 days;0;8;0;6;44887.5;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;18891.0825;708200;TERM;14250.0;270 days;211 days;0;8;0;6;29925.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;18891.0825;708201;TERM;14250.0;270 days;211 days;0;8;0;6;29925.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;18891.0825;708202;TERM;14250.0;270 days;211 days;0;8;0;6;29925.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;52614.64756500001;708203;TERM;39688.5;270 days;211 days;0;8;0;6;83345.85;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;64603.52508;708204;TERM;48732.0;270 days;211 days;0;8;0;6;102337.20000000001;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;39770.7;708205;TERM;30000.0;270 days;211 days;0;8;0;6;63000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;22251.70665;708206;TERM;16785.0;270 days;211 days;0;8;0;6;35248.5;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;19885.35;708207;TERM;15000.0;270 days;211 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;159082.8;708208;TERM;120000.0;270 days;211 days;0;8;0;6;252000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;198853.5;708210;TERM;150000.0;270 days;211 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;198853.5;708211;TERM;150000.0;270 days;211 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;198853.5;708212;TERM;150000.0;270 days;211 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;198853.5;708213;TERM;150000.0;270 days;211 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;198853.5;708214;TERM;150000.0;270 days;211 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;99426.75;708215;TERM;75000.0;270 days;211 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;198853.5;708216;TERM;150000.0;270 days;211 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;99426.75;708217;TERM;75000.0;270 days;211 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;79541.4;708218;TERM;60000.0;270 days;211 days;0;8;0;6;126000.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;160425.061125;708219;TERM;121012.5;270 days;211 days;0;8;0;6;254126.25;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;43747.770000000004;708220;TERM;33000.0;270 days;211 days;0;8;0;6;69300.0;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;20764.28247;708221;TERM;15663.0;270 days;211 days;0;8;0;6;32892.3;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;41637.934365;708222;TERM;31408.5;270 days;211 days;0;8;0;6;65957.85;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;142679.374785;708223;TERM;107626.5;270 days;211 days;0;8;0;6;226015.65000000002;1.3041666666666667
2020-01-31;2019-07-04;2019-07-04;2020-03-30;2.2;G;109369.42499999999;708224;TERM;82500.0;270 days;211 days;0;8;0;6;173250.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;L;198853.5;502852;TERM;150000.0;270 days;210 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;84174.68655;708235;TERM;63495.0;270 days;210 days;0;8;0;6;133339.5;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;99426.75;708236;TERM;75000.0;270 days;210 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;29828.025;708237;TERM;22500.0;270 days;210 days;0;8;0;6;47250.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;19089.936;708238;TERM;14400.0;270 days;210 days;0;8;0;6;30240.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;27577.003380000002;708239;TERM;20802.0;270 days;210 days;0;8;0;6;43684.2;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;59085.340455000005;708240;TERM;44569.5;270 days;210 days;0;8;0;6;93595.95000000001;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;59375.66656500001;708241;TERM;44788.5;270 days;210 days;0;8;0;6;94055.85;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;107943.64540499999;708242;TERM;81424.5;270 days;210 days;0;8;0;6;170991.45;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;93646.07875500001;708243;TERM;70639.5;270 days;210 days;0;8;0;6;148342.95;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;79541.4;708244;TERM;60000.0;270 days;210 days;0;8;0;6;126000.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;19885.35;708245;TERM;15000.0;270 days;210 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;19885.35;708246;TERM;15000.0;270 days;210 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;187916.5575;708247;TERM;141750.0;270 days;210 days;0;8;0;6;297675.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;19885.35;708248;TERM;15000.0;270 days;210 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;19885.35;708249;TERM;15000.0;270 days;210 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;19885.35;708250;TERM;15000.0;270 days;210 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-05;2019-07-05;2020-03-31;2.2;G;365405.23746;708251;TERM;275634.0;270 days;210 days;0;8;0;6;578831.4;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;L;9942.675;502855;TERM;7500.0;270 days;207 days;0;8;0;6;15750.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;L;20686.729605;502856;TERM;15604.5;270 days;207 days;0;8;0;6;32769.45;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;T;20442.1398;708252;TERM;15420.0;270 days;207 days;0;8;0;6;32382.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;13818.329715;708262;TERM;10423.5;270 days;207 days;0;8;0;6;21889.35;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;14977.64562;708263;TERM;11298.0;270 days;207 days;0;8;0;6;23725.800000000003;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;18521.21499;708264;TERM;13971.0;270 days;207 days;0;8;0;6;29339.1;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;28193.44923;708265;TERM;21267.0;270 days;207 days;0;8;0;6;44660.7;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;89484.07500000001;708266;TERM;67500.0;270 days;207 days;0;8;0;6;141750.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;321174.253455;708267;TERM;242269.5;270 days;207 days;0;8;0;6;508765.95;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;99426.75;708268;TERM;75000.0;270 days;207 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;99426.75;708269;TERM;75000.0;270 days;207 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;126707.461665;708270;TERM;95578.5;270 days;207 days;0;8;0;6;200714.85000000003;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;89484.07500000001;708271;TERM;67500.0;270 days;207 days;0;8;0;6;141750.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;19885.35;708272;TERM;15000.0;270 days;207 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;53227.116345;708273;TERM;40150.5;270 days;207 days;0;8;0;6;84316.05000000002;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;29828.025;708274;TERM;22500.0;270 days;207 days;0;8;0;6;47250.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;39770.7;708275;TERM;30000.0;270 days;207 days;0;8;0;6;63000.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;139197.45;708276;TERM;105000.0;270 days;207 days;0;8;0;6;220500.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;99426.75;708277;TERM;75000.0;270 days;207 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;39770.7;708278;TERM;30000.0;270 days;207 days;0;8;0;6;63000.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;11931.210000000001;708279;TERM;9000.0;270 days;207 days;0;8;0;6;18900.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;66623.87664;708280;TERM;50256.0;270 days;207 days;0;8;0;6;105537.6;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;198853.5;708281;TERM;150000.0;270 days;207 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;29828.025;708282;TERM;22500.0;270 days;207 days;0;8;0;6;47250.0;1.3041666666666667
2020-01-31;2019-07-08;2019-07-08;2020-04-03;2.2;G;99426.75;708283;TERM;75000.0;270 days;207 days;0;8;0;6;157500.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;I;11931.210000000001;502864;TERM;9000.0;270 days;206 days;0;8;0;6;18900.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;27209.124405000002;708294;TERM;20524.5;270 days;206 days;0;8;0;6;43101.45;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;87495.54000000001;708295;TERM;66000.0;270 days;206 days;0;8;0;6;138600.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;79541.4;708296;TERM;60000.0;270 days;206 days;0;8;0;6;126000.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;41643.89997;708297;TERM;31413.0;270 days;206 days;0;8;0;6;65967.3;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;497133.75;708298;TERM;375000.0;270 days;206 days;0;8;0;6;787500.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;29989.096335;708299;TERM;22621.5;270 days;206 days;0;8;0;6;47505.15000000001;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;45006.512655;708300;TERM;33949.5;270 days;206 days;0;8;0;6;71293.95000000001;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;526961.775;708301;TERM;397500.0;270 days;206 days;0;8;0;6;834750.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;9942.675;708302;TERM;7500.0;270 days;206 days;0;8;0;6;15750.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;19885.35;708303;TERM;15000.0;270 days;206 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;49713.375;708304;TERM;37500.0;270 days;206 days;0;8;0;6;78750.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;37541.552265;708306;TERM;28318.5;270 days;206 days;0;8;0;6;59468.850000000006;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;87209.19096;708307;TERM;65784.0;270 days;206 days;0;8;0;6;138146.40000000002;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;10185.27627;708308;TERM;7683.0;270 days;206 days;0;8;0;6;16134.300000000001;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;20372.541075;708309;TERM;15367.5;270 days;206 days;0;8;0;6;32271.75;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;13241.654565;708310;TERM;9988.5;270 days;206 days;0;8;0;6;20975.85;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;19288.789500000003;708311;TERM;14550.0;270 days;206 days;0;8;0;6;30555.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;9942.675;708312;TERM;7500.0;270 days;206 days;0;8;0;6;15750.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;49713.375;708313;TERM;37500.0;270 days;206 days;0;8;0;6;78750.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;18248.785695;708314;TERM;13765.5;270 days;206 days;0;8;0;6;28907.550000000003;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-04;2.2;G;19885.35;708315;TERM;15000.0;270 days;206 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-06;2.2;L;25954.35882;502859;TERM;19578.0;272 days;206 days;0;8;0;6;41113.8;1.3041666666666667
2020-01-31;2019-07-09;2019-07-09;2020-04-06;2.2;L;40444.813365;502860;TERM;30508.5;272 days;206 days;0;8;0;6;64067.850000000006;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;87495.54000000001;708325;TERM;66000.0;270 days;205 days;0;8;0;6;138600.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;25850.955;708327;TERM;19500.0;270 days;205 days;0;8;0;6;40950.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;13343.06985;708328;TERM;10065.0;270 days;205 days;0;8;0;6;21136.5;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;43548.9165;708329;TERM;32850.0;270 days;205 days;0;8;0;6;68985.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;13919.744999999999;708330;TERM;10500.0;270 days;205 days;0;8;0;6;22050.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;61334.37354;708331;TERM;46266.0;270 days;205 days;0;8;0;6;97158.6;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;9942.675;708332;TERM;7500.0;270 days;205 days;0;8;0;6;15750.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;19885.35;708333;TERM;15000.0;270 days;205 days;0;8;0;6;31500.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;103499.26968;708334;TERM;78072.0;270 days;205 days;0;8;0;6;163951.2;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;9942.675;708335;TERM;7500.0;270 days;205 days;0;8;0;6;15750.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;198853.5;708336;TERM;150000.0;270 days;205 days;0;8;0;6;315000.0;1.3041666666666667
2020-01-31;2019-07-10;2019-07-10;2020-04-05;2.2;G;10191.241875;708337;TERM;7687.5;270 days;205 days;0;8;0;6;16143.75;1.3041666666666667
